,name,list_categories
0,LAVERA,"['Lifestyle And Wellbeing', 'Sports And Leisure Equipment']"
1,CMI ORCHARDS,['Food And Drinks']
2,CAFIX,"['allegra', 'Breakfast Foods', 'Canned and baked food', 'Snacks, Chips and Crackers', 'Milk alternatives']"
3,GORILLY GOODS,"['Snacks, Chips and Crackers']"
4,LUNDBERG FAMILY FARMS,['Soups']
5,MANUKAGUARD,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Swimwear', 'Accessories', 'Tops And Sweaters', 'Outerwear', 'Swimwear', 'Accessories', 'Traditional Clothing', 'Pants And Shorts', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Accessories', 'Wallets', 'Sunglasses', 'Dresses']"
6,MUSCO FAMILY OLIVE CO,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Swimwear', 'Skirts', 'Accessories', 'One-Piece', 'Sleepwear And Loungewear', 'Tops And Sweaters', 'Outerwear', 'Umbrellas', 'Activewear', 'Swimwear', 'Suits And Uniforms', 'Accessories', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Accessories', 'Wallets', 'Gloves', 'Scarves', 'Sunglasses', 'Belts', 'Dresses']"
7,REESE,"['Watches', 'Jewelry', 'Watches']"
8,THE YES BAR,['Bread']
9,HUDSON BREAD,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Swimwear', 'Skirts', 'Accessories', 'One-Piece', 'Sleepwear And Loungewear', 'Tops And Sweaters', 'Outerwear', 'Umbrellas', 'Activewear', 'Swimwear', 'Suits And Uniforms', 'Accessories', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Accessories', 'Wallets', 'Gloves', 'Scarves', 'Sunglasses', 'Belts', 'Dresses']"
10,SUPERIOR SOURCE,"['Snacks, Chips and Crackers']"
11,MAUK FAMILY FARMS,['Food And Drinks']
